Song,‎Lyrics
Sad Beautiful Tragic ‎‎‎‎ ,"long handwritten notes deep in your pocket words, how little they mean when you're a little too late i stood right by the tracks your face in a locket good girls, hopeful they'll be and long they will wait we had a beautiful, magic love there what a sad beautiful, tragic love affair in dreams i meet you in warm conversation and we both wake in lonely beds and different cities and time is taking its sweet time erasing you and you've got your demons and, darling they all look like me 'cause we had a beautiful, magic love there what a sad beautiful, tragic love affair oh, oh distance, timing breakdown, fighting silence the train runs off its tracks kiss me, try to fix it could you just try to listen? hang up, give up and for the life of us we can't get back a beautiful, magic love there what a sad beautiful, tragic beautiful, tragic beautiful what we had a beautiful, magic love there what a sad beautiful, tragic love affair we had a beautiful, magic love there what a sad beautiful, tragic love affair"
The Lucky One ‎‎‎‎ ,"new to town with a made up name in the angel's city chasing fortune and fame and the camera flashes make it look like a dream you had it figured out since you were in school everybody loves pretty everybody loves cool so overnight you look like a sixties' queen another name goes up in lights like diamonds in the sky and they’ll tell you now you're the lucky one yeah, they’ll tell you now you're the lucky one but can you tell me now you're the lucky one? oh, oh, oh now it's big black cars and riviera views and your lover in the foyer doesn't even know you and your secrets end up splashed on the news front page and they tell you that you're lucky but you're so confused 'cause you don't feel pretty you just feel used and all the young things line up to take your place another name goes up in lights you wonder if you'll make it out alive and they’ll tell you now you're the lucky one yeah, they’ll tell you now you're the lucky one can you tell me now you're the lucky one? oh, oh, oh it was a few years later i showed up here and they still tell the legend of how you disappeared how you took the money and your dignity and got the hell out they say you bought a bunch of land somewhere chose the rose garden over madison square and it took some time but i understand it now 'cause now my name is up in lights but i think you got it right let me tell you now you're the lucky one let me tell you now you're the lucky one let me tell you now you're the lucky one oh, oh, oh yeah, they’ll tell you now you're the lucky one yeah, they’ll tell you now you're the lucky one yeah, they'll tell you now you're the lucky one"
Everything Has Changed ‎‎‎‎ ,"all i knew this morning when i woke is i know something now know something now i didn't before and all i've seen since 18 hours ago is green eyes and freckles and your smile in the back of my mind, making me feel like i just wanna know you better know you better, know you better now i just wanna know you better know you better, know you better now i just wanna know you better know you better, know you better now i just wanna know you, know you, know you 'cause all i know is we said: hello and your eyes look like coming home all i know is a simplе name everything has changed all i know is you hеld the door you'll be mine and i'll be yours all i know since yesterday is everything has changed and all my walls stood tall, painted blue but i'll take 'em down, take 'em down and open up the door for you and all i feel in my stomach is butterflies the beautiful kind, makin' up for lost time takin' flight, making me feel like i just wanna know you better know you better, know you better now i just wanna know you better know you better, know you better now i just wanna know you better know you better, know you better now i just wanna know you, know you, know you 'cause all i know is we said: hello and your eyes look like coming home all i know is a simple name everything has changed all i know is you held the door you'll be mine and i'll be yours all i know since yesterday is everything has changed come back and tell me why i'm feeling like i've missed you all this time and meet me there tonight and let me know that it's not all in my mind i just wanna know you better know you better, know you better now i just wanna know you, know you, know you all i know is we said: hello and your eyes look like coming home all i know is a simple name everything has changed all i know is you held the door and you'll be mine and i'll be yours all i know since yesterday is everything has changed all i know is we said: hello so dust off your highest hopes all i know is pouring rain and everything has changed all i know is a newfound grace all my days, i'll know your face all i know since yesterday is everything has changed"
Starlight ‎‎‎‎ ,"i said: oh my, what a marvellous tune it was the best night, never would forget how we moved the whole place was dressed to the nines and we were dancing, dancing like we're made of starlight like we're made of starlight i met bobby on the boardwalk, summer of '45 picked me up late one night out the window we were 17 and crazy, runnin' wild, wild can't remember what song it was playing when we walked in the night we snuck into a yacht club party pretending to be a duchess and a prince and i said: oh my, what a marvellous tune it was the best night, never would forget how we moved the whole place was dressed to the nines and we were dancing, dancing like we're made of starlight, starlight like we're made of starlight, starlight he said: look at you, worrying too much about things you can't change you'll spend your whole life singing the blues if you keep thinking that way he was trying to skip rocks on the ocean saying to me don't you see the starlight, starlight? don't you dream impossible things? like, oh my, what a marvellous tune it was the best night, never would forget how we moved the whole place was dressed to the nines and we were dancing, dancing like we're made of starlight, starlight like we're made of starlight, starlight ooh, ooh, he's talking crazy ooh, ooh, dancing with me ooh, ooh, we could get married have ten kids and teach them how to dream hoo, hoo, hoo hoo, hoo, hoo hoo, hoo, hoo hoo, hoo, hoo oh my, what a marvellous tune it was the best night, never would forget how we moved the whole place was dressed to the nines and we were dancing, dancing like we're made of starlight, starlight like we're made of starlight, starlight like we're made of starlight, starlight like we dream impossible dreams like starlight, starlight like we dream impossible dreams don't you see the starlight, starlight? don't you dream impossible things?"
Begin Again ‎‎‎‎ ,"took a deep breath in the mirror he didn't like it when i wore high heels but i do turn the lock and put my headphones on he always said he didn't get this song but i do, i do i walked in expecting you'd be late but you got here early and you stand and wave i walk to you you pull my chair out and help me in and you don't know how nice that is but i do and you throw your head back laughing like a little kid i think it's strange that you think i'm funny 'cause he never did i've been spending the last eight months thinking all love ever does is break, and burn, and end but on a wednesday, in a café i watched it begin again you said you never met one girl who had as many james taylor records as you but i do we tell stories and you don't know why i'm coming off a little shy but i do but you throw your head back laughing like a little kid i think it's strange that you think i'm funny 'cause he never did i've been spending the last eight months thinking all love ever does is break, and burn, and end but on a wednesday, in a café i watched it begin again and we walked down the block, to my car and i almost brought him up but you start to talk about the movies that your family watches every single christmas and i want to talk about that and for the first time what's past is past 'cause you throw your head back laughing like a little kid i think it's strange that you think i'm funny 'cause he never did i've been spending the last eight months thinking all love ever does is break, and burn, and end but on a wednesday, in a café i watched it begin again on a wednesday, in a café i watched it begin again"
The Moment I Knew ‎‎‎‎ ,"you should've been there should've burst through the door with that baby, i'm right here, smile and it would've felt like a million little shining stars had just aligned and i would've been so happy christmas lights glisten i've got my eye on the door just waiting for you to walk in but the time is just ticking people ask me how i've been as i comb back through my memory how you said you'd be here you said you'd be here and it was like slow motion standing there in my party dress in red lipstick with no one to impress and they're all laughing as i'm looking around the room but there was one thing missing and that was the moment i knew and the hours pass by now i just want to be alone but your close friends always seem to know when there's something really wrong so they follow me down the hall and there in the bathroom i try not to fall apart and the sinking feeling starts as i say hopelessly he said he'd be here and it was like slow motion standing there in my party dress in red lipstick with no one to impress and they're all laughing and asking me about you but there was one thing missing and that was the moment i knew what do you say when tears are streaming down your face in front of everyone you know? and what do you do when the one who means the most to you is the one who didn't show? you should've been here and i would've been so happy and it was like slow motion standing there in my party dress in red lipstick with no one to impress and they're all standing around me singing happy birthday to you but there was one thing missing and that was the moment i knew ooh, i knew you called me later and said: i'm sorry, i didn't make it and i said: i'm sorry, too and that was the moment i knew"
Come Back...Be Here ‎‎‎‎ ,"you said it in a simple way 4 am, the second day how strange that i don't know you at all stumbled through the long goodbye one last kiss, then catch your flight right when i was just about to fall i told myself: don't get attached but in my mind, i play it back spinning faster than the plane that took you and this is when the feeling sinks in i don't wanna miss you like this come back, be here come back, be here i guess you're in new york today i don't wanna need you this way come back, be here come back, be here the delicate beginning rush the feeling you can know so much without knowing anything at all and now that i can put this down if i had known what i know now i never would've played so nonchalant taxi cabs and busy streets that never bring you back to me i can't help but wish you took me with you and this is when the feeling sinks in i don't wanna miss you like this come back, be here come back, be here i guess you're in london today and i don't wanna need you this way come back, be here come back, be here oh-oh, oh-oh (oh) oh-oh, oh-oh (oh) oh-oh, oh-oh (oh) this is falling in love in the cruelest way this is falling for you when you are worlds away in new york, be here but you're in london and i break down 'cause it's not fair that you're not around this is when the feeling sinks in i don't wanna miss you like this come back, be here come back, be here i guess you're in new york today and i don't wanna need you this way come back, be here come back, be here oh-oh, oh-oh (oh) i don't wanna miss you like this oh-oh, oh-oh (oh) come back, be here (oh) come back, be here (oh)"
Girl At Home ‎‎‎‎ ,"don't look at me, you got a girl at home and everybody knows that, everybody knows that uh-uh, don't look at me, you got a girl at home and everybody knows that i don't even know her but i feel a responsibility to do what's upstanding and right it's kinda like a code, yeah and you've been getting closer and closer and crossing so many lines and it would be a fine proposition if i was a stupid girl but, honey, i am no one's exception this i have previously learned so, don't look at me, you got a girl at home and everybody knows that, everybody knows that uh-uh, don't look at me, you got a girl at home and everybody knows that, everybody knows that i see you turn off your phone and now you've got me alone and i say, don't look at me, you got a girl at home and everybody knows that, everybody knows that i just want to make sure you understand perfectly you're the kind of man who makes me sad while she waits up you chase down the newest thing and take for granted what you have and it would be a fine proposition if i was a stupid girl and, yeah, i might go with it if i hadn't once been just like her don't look at me, you got a girl at home and everybody knows that, everybody knows that uh-uh, don't look at me, you got a girl at home and everybody knows that, everybody knows that i see you turn off your phone and now you've got me alone and i say, don't look at me, you got a girl at home and everybody knows that, everybody knows that call a cab, lose my number you're about to lose your girl call a cab, lose my number let's consider this lesson learned don't look at me, you got a girl at home and everybody knows that, everybody knows that uh-uh, don't look at me, you got a girl at home and everybody knows that, everybody knows i want to see you pick up your phone and tell her you're coming home don't look at me, you got a girl at home and everybody knows that, everybody knows that don't look at me, you got a girl at home and everybody knows that, everybody knows that it would be a fine proposition if i hadn't once been just like her"
Ronan ‎‎‎‎ ,"i remember your bare feet, down the hallway i remember your little laugh race cars on the kitchen floor, plastic dinosaurs i love you to the moon and back i remember your blue eyes looking into mine like we had our own secret club i remember you dancing before bed time then jumping on me, waking me up i can still feel you hold my hand, little man and even the moment i knew you fought it hard like an army guy remember i leaned in and whispered to you come on, baby, with me we're going to fly away from here you were my best four years i remember the drive home when the blind hope turned to crying and screaming: why? flowers pile up in the worst way, no one knows what to say about a beautiful boy who died and it's about to be halloween you could be anything you wanted if you were still here i remember the last day, when i kissed your face and whispered in your ear come on, baby, with me we're going to fly away from here out of this curtained room and this hospital gray, we'll just disappear come on, baby, with me we're going to fly away from here you were my best four years what if i'm standing in your closet trying to talk to you? and what if i kept the hand-me-downs you won't grow into? and what if i really thought some miracle would see us through? what if the miracle was even getting one moment with you? come on, baby, with me we're going to fly away from here come on, baby, with me we're going to fly away from here you were my best four years i remember your bare feet, down the hallway i love you to the moon and back"
Better Man ‎‎‎ [From The Vault],"i know i'm probably better off on my own than lovin' a man who didn't know what he had when he had it and i see the permanent damage you did to me never again, i just wish i could forget when it was magic i wish it wasn't four am standing in the mirror saying to myself: you know you had to do it i know the bravest thing i ever did was run sometimes, in the middle of the night i can feel you again but i just miss you and i just wish you were a better man and i know why we had to say goodbye like the back of my hand but i just miss you and i just wish you were a better man a better man i know i'm probably better off all alone than needing a man who could change his mind at any given minute and it was always on your terms i waited on every careless word hoping they might turn sweet again like it was in the beginning but your jealousy oh, i can hear it now talking down to me like i'd always be around push my love away like it was some kind of loaded gun oh, you never thought i'd run sometimes, in the middle of the night i can feel you again but i just miss you and i just wish you were a better man and i know why we had to say goodbye like the back of my hand but i just miss you and i just wish you were a better man a better man i hold onto this pride because these days it's all i have and i gave to you my best and we both know you can't say that i wish you were a better man i wonder what we would've become if you were a better man we might still be in love if you were a better man you would've been the one if you were a better man yeah, yeah sometimes, in the middle of the night i can feel you again but i just miss you and i just wish you were a better man and i know why we had to say goodbye like the back of my hand but i just miss you and i just wish you were a better man a better man (sometimes, in the middle of the night) (i can feel you again) we might still be in love if you were a better man (but i just miss you) (and i just wish you were a better man) yeah, yeah i know why we had to say goodbye like the back of my hand but i just miss you and i just wish you were a better man a better man we might still be in love if you were a better man you would've been the one if you were a better man"
