Song,Lyrics
Karma,"you're talkin’ shit for the hell of it addicted to betrayal, but you’re relevant you’re terrified to look down ‘cause if you dare, you’ll see the glare of everyone you burned just to get there it’s coming back around and i keep my side of the street clean you wouldn’t know what i mean ‘cause karma is my boyfriend, karma is a god karma is the breeze in my hair on the weekend karma's a relaxing thought aren't you envious that for you it's not? sweet like honey, karma is a cat purring in my lap 'cause it loves me flexing like a goddamn acrobat me and karma vibe like that spidеr-boy, king of thieves weavе your little webs of opacity my pennies made your crown trick me once, trick me twice don’t you know that cash ain’t the only price? it’s coming back around and i keep my side of the street clean you wouldn’t know what i mean ‘cause karma is my boyfriend, karma is a god karma is the breeze in my hair on the weekend karma's a relaxing thought aren't you envious that for you it's not? sweet like honey, karma is a cat purring in my lap 'cause it loves me flexing like a goddamn acrobat me and karma vibe like that ask me what i learned from all those years ask me what i earned from all those tears ask me why so many fade, but i'm still here (i'm still here) ‘cause karma is the thunder, rattling your ground karma’s on your scent like a bounty hunter karma’s gonna track you down step by step, from town to town sweet like justice, karma is a queen karma takes all my friends to the summit karma is the guy on the screen comin’ straight home to me ‘cause karma is my boyfriend, karma is a god karma is the breeze in my hair on the weekend karma's a relaxing thought aren't you envious that for you it's not? sweet like honey, karma is a cat purring in my lap 'cause it loves me flexing like a goddamn acrobat me and karma vibe like that karma is my boyfriend, karma is a god karma’s a relaxing thought"
Sweet Nothing,"i spy with my little tired eye tiny as a firefly, a pebble that we picked up last july down deep inside your pocket we almost forgot it does it ever miss wicklow sometimes? ooh, ooh they said the end is comin' everyone's up to something i found myself running home to your sweet nothings outside they're push and shoving you're in the kitchen humming all that you ever wanted from me was sweet nothing on the way home i wrote a poem you say: what a mind this happens all the time ooh, ooh, ooh, ooh 'cause they said the end is comin' everyone's up to something i found myself running home to your sweet nothings outside they're push and shoving you're in the kitchen humming all that you ever wanted from me was nothing industry disruptors and soul deconstructors and smooth-talking hucksters out-glad-handing each other and the voices that implore: you should be doing more to you i can admit that i'm just too soft for all of it ooh, ooh, ooh, ooh they said the end is comin' everyone's up to something i found myself running home to your sweet nothings outside they're push and shoving you're in the kitchen humming all that you ever wanted from me was sweet nothing they said the end is comin' (they said the end is comin') everyone's up to something (everyone's up to something) i found myself running home to your sweet nothings outside they're push and shoving (outside they're push and shoving) you're in the kitchen humming (you're in the kitchen humming) all that you ever wanted from me was sweet nothing"
Mastermind,"once upon a time, the planets and the fates and all the stars aligned you and i ended up in the same room at the same time and the touch of a hand lit the fuse of a chain reaction of countermoves to assess the equation of you checkmate, i couldn't lose what if i told you none of it was accidental? and the first night that you saw me, nothing was gonna stop me? i laid the groundwork and then, just like clockwork the dominoes cascaded in a line what if i told you i'm a mastermind? and now you're mine it was all by design 'cause i'm a mastermind you see, all the wisest women had to do it this way 'cause we were born to be the pawn in every lover's game if you fail to plan, you plan to fail strategy sets the scene for the tale i'm the wind in our free-flowing sails and the liquor in our cocktails what if i told you none of it was accidental and the first night that you saw me, i knew i wanted your body? i laid the groundwork and then, just like clockwork the dominoes cascaded in a line what if i told you i'm a mastermind? and now you're mine it was all my design 'cause i'm a mastermind no one wanted to play with me as a little kid so i've been scheming like a criminal ever since to make them love me and make it seem effortless this is the first time i felt the need to confess and i swear, i'm only cryptic and machiavellian 'cause i care so i told you none of it was accidental and the first night that you saw me, nothing was gonna stop me i laid the groundwork and then, saw a wide smirk on your face, you knew the entire time you knew that i'm a mastermind and now you're mine yeah, all you did was smile 'cause i'm a mastermind"
Hits Different,"i washed my hands of us at the club you made a mess of me i pictured you with other girls in love then threw up on the street like waiting for a bus that never shows you just start walking on they say that if it's right, you know each bar plays our song nothing has ever felt so wrong oh my, love is a lie shit my friends say to get me by it hits different it hits different this time catastrophic blues moving on was always easy for me to do it hits different it hits different 'cause it's you ('cause it's you) i used to switch out these kens, i'd just ghost rip the band-aid off and skip town like an asshole outlaw freedom felt like summer then on the coast now the sun burns my heart and the sand hurts my feelings and i never don't cry (no, i never don't cry) at the bar yeah, my sadness is contagious (my sadness is contagious) i slur your name till someone puts me in a car i stopped receiving invitations oh my, love is a lie shit my friends say to get me by it hits different it hits different this time catastrophic blues moving on was always easy for me to do it hits different it hits different 'cause it's you ('cause it's you) i find the artifacts, cried over a hat cursed the space that i needed i trace the evidence, make it make some sense why the wound is still bleeding? you were the one that i loved don't need another metaphor, it's simple enough a wrinkle in time like the crease by your eyes this is why they shouldn't kill off the main guy dreams of your hair and your stare and sense of belief in the good in the world, you once believed in me and i felt you and i held you for a while bet i could still melt your world argumentative, antithetical, dream girl i heard your key turn in the door down the hallway is that your key in the door? is it okay? is it you? or have they come to take me away? (to take me away) oh my, love is a lie shit my friends say to get me by it hits different (it hits different) it hits different this time catastrophic blues moving on was always easy for me to do it hits different (it hits different) it hits different 'cause it's you (oh my, love is a lie) (shit my friends say to get me by) ('cause it's you) (catastrophic blues) (moving on was always easy for me to do) it hits different (yeah) it hits different 'cause it's you"
The Great War,"my knuckles were bruised like violets sucker punching walls, cursed you as i sleep talked spineless in my tomb of silence tore your banners down, took the battle underground and maybe it was ego swinging maybe it was her flashes of the battle come back to me in a blur all that bloodshed, crimson clover uh-huh, sweet dream was over my hand was the one you reached for all throughout the great war always remember uh-huh, tears on the letter i vowed not to cry anymore if we survived the great war you drew up some good faith treaties i drew curtains closed, drank my poison all alone you said i have to trust more freely but diesel is desire, you were playing with fire and maybe it's the past that's talking screaming from a crypt telling me to punish you for things you never did so i justified it all that bloodshed, crimson clover uh-huh, the bombs were close and my hand was the one you reached for all throughout the great war always remember uh-huh, the burning embers i vowed not to fight anymore if we survived the great war uh-huh uh-huh it turned into something bigger somewhere in the haze got a sense i'd been betrayed your finger on my hairpin triggers soldier down on that icy ground looked up at me with honor and truth broken and blue, so i called off the troops that was the night i nearly lost you i really thought i'd lost you we can plant a memory garden say a solemn prayer, place a poppy in my hair there's no morning glory, it was war, it wasn't fair and we will never go back to that bloodshed, crimson clover uh-huh, the worst was over my hand was the one you reached for all throughout the great war always remember uh-huh, we're burned for better i vow i will always be yours 'cause we survived the great war uh-huh uh-huh i'll always be yours 'cause we survived the great war uh-huh i vow i will always be yours"
Bigger Than The Whole Sky,"no words appear before me in the aftermath salt streams out my eyes and into my ears every single thing i touch becomes sick with sadness 'cause it's all over now, all out to sea goodbye, goodbye, goodbye you were bigger than the whole sky you were more than just a short time and i've got a lot to pine about i've got a lot to live without i'm never gonna meet what could've been, would've been what should've been you what could've been, would've been you did some bird flap its wings over in asia? did some force take you because i didn't pray? every single thing to come has turned into ashes 'cause it's all over, it's not meant to be so i'll say words i don't believe goodbye, goodbye, goodbye you were bigger than the whole sky you were more than just a short time and i've got a lot to pine about i've got a lot to live without i'm never gonna meet what could've been, would've been what should've been you (what could've been, would've been) (what could've been, would've been) (what could've been, would've been) what could've been, would've been what should've been you (what could've been, would've been) what could've been, would've been you (what could've been, would've been) goodbye, goodbye, goodbye you were bigger than the whole sky you were more than just a short time and i've got a lot to pine about i've got a lot to live without i'm never gonna meet what could've been, would've been what should've been you"
High Infidelity,"lock broken, slur spoken wound open, game token i didn't know you were keeping count rain soaking, blind hoping you said i was freeloading i didn't know you were keeping count high infidelity put on your records and regret me i bent the truth too far tonight i was dancing around, dancing around it high infidelity put on your headphones and burn my city your picket fence is sharp as knives i was dancing around, dancing around it do you really wanna know where i was april 29th? do i really have to chart the constellations in his eyes? storm coming, good husband, bad omen dragged my feet right down the aisle at the house lonely, good money i'd pay if you'd just know me seemed like the right thing at the time you know there's many different ways that you can kill the one you love the slowest way is never loving them enough do you really wanna know where i was april 29th? do i really have to tell you how he brought me back to life? high infidelity put on your records and regret me i bent the truth too far tonight i was dancing around, dancing around it high infidelity put on your headphones and burn my city your picket fence is sharp as knives i was dancing around, dancing around it do you really want to know where i was april 29th? do i really have to chart the constellations in his eyes? you know there's many different ways that you can kill the one you love the slowest way is never loving them enough high infidelity put on your records and regret meeting me i bent the truth too far tonight i was dancing around, dancing around it high infidelity put on your headphones and burn my city your picket fence is sharp as knives i was dancing around, dancing around it oh, there's many different ways that you can kill the one you love and it's never enough it's never enough lock broken, slur spoken wound open, game token i didn't know you were keeping count rain soaking, blind hoping you said i was freeloading i didn't know you were keeping count but, oh, you were keeping count"
"Would've, Could've, Should've","if you would've blinked, then i would've looked away at the first glance if you tasted poison, you could've spit me out at the first chance and if i was some paint, did it splatter on a promising grown man? and if i was a child, did it matter if you got to wash your hands? oh, all i used to do was pray would've, could've, should've if you'd never looked my way i would've stayed on my knees and i damn sure never would've danced with the devil at nineteen and the god's honest truth is that the pain was heaven and now that i'm grown, i'm scared of ghosts memories feel like weapons and now that i know, i wish you'd left me wondering if you never touched me, i would've gone along with the righteous if i never blushed, then they could've never whispered about this and if you never saved me from boredom i could've gone on as i was but, lord, you made me feel important and then you tried to erase us oh, you're a crisis of my faith would've, could've, should've if i'd only played it safe i would've stayed on my knees and i damn sure never would've danced with the devil at nineteen and the god's honest truth is that the pain was heaven and now that i'm grown, i'm scared of ghosts memories feel like weapons and now that i know, i wish you'd left me wondering god rest my soul i miss who i used to be the tomb won't close stained glass windows in my mind i regret you all the time i can't let this go i fight with you in my sleep the wound won't close i keep on waiting for a sign i regret you all the time if clarity's in death, then why won't this die? years of tearing down our banners, you and i living for the thrill of hitting you where it hurts give me back my girlhood, it was mine first and i damn sure never would've danced with the devil at nineteen and the god's honest truth is that the pain was heaven and now that i'm grown, i'm scared of ghosts memories feel like weapons and now that i know, i wish you'd left me wondering god rest my soul i miss who i used to be the tomb won't close stained glass windows in my mind i regret you all the time i can't let this go i fight with you in my sleep the wound won't close i keep on waiting for a sign i regret you all the time oh, god, rest my soul i miss who i used to be the tomb won't close stained glass windows in my mind i regret you all the time i can't let this go i fight with you in my sleep the wound won't close i keep on waiting for a sign i regret you all the time"
Dear Reader,"dear reader, if it feels like a trap you're already in one dear reader, get out your map pick somewhere and just run dear reader, burn all the files desert all your past lives and if you don't recognize yourself that means you did it right never take advice from someone who's falling apart never take advice from someone who's falling apart dear reader, bend when you can snap when you have to dear reader, you don't have to answer just 'cause they asked you (you should find another) dear reader, the greatest of luxuries is your secrets dear reader, when you aim at the devil make sure you don't miss never take advice from someone who's falling apart never take advice from someone who's falling apart so i wander through these nights i prefer hiding in plain sight my fourth drink in my hand these desperate prayers of a cursed man spilling out to you for free but, darling, darling, please you wouldn't take my word for it if you knew who was talking if you knew where i was walking to a house, not a home, all alone 'cause nobody's there where i pace in my pen and my friends found friends who care no one sees when you lose when you're playing solitaire (you should find another guiding light, guiding light) (well, i shine so bright) (you should find another guiding light, guiding light) (but i shine so bright) (you should find another) (you should find another) (guiding light) (find another) (you should find another)"
Paris,"your ex friend's sister met someone at a club and he kissed her turns out it was that guy you hooked up with ages ago some wannabe z lister and all the outfits were terrible 2003, unbearable did you see the photos? no, i didn't, but thanks, though i'm so in love that i might stop breathing drew a map on your bedroom ceiling no, i didn't see the news 'cause we were somewhere else stumbled down pretend alleyways, cheap wine make believe it's champagne i was taken by the view like we were in paris like we were somewhere else like we were in paris, oh we were somewhere else (where else) privacy sign on the door and on my page and on the whole world romance is not dead if you keep it just yours levitated thought, all the messes made sit quiet by my side in the shade and not the kind that's thrown i mean, the kind under where a tree has grown i'm so in love that i might stop breathing drew a map on your bedroom ceiling no, i didn't see the news 'cause we were somewhere else stumbled down pretend alleyways, cheap wine make believe it's champagne i was taken by the view like we were in paris, oh like we were somewhere else like we were in paris, oh we were somewhere else (paris) i wanna brainwash you into loving me forever i wanna transport you to somewhere the culture's clever confess my truth in swooping sloping cursive letters let the only flashing lights be the tower at midnight in my mind we drew a map on your bedroom ceiling no, i didn't see the news 'cause we were somewhere else in an alleyway, drinking champagne 'cause we were in paris yes, we were somewhere else my love, we were in paris yes, we were somewhere else"
Glitch,"we were supposed to be just friends you don't live in my part of town but maybe i'll see you out some weekend depending on what kind of mood and situationship i'm in and what's in my system i think there's been a glitch oh, yeah five seconds later i'm fastening myself to you with a stitch oh, yeah and i'm not even sorry, nights are so starry blood moonlit it must be counterfeit i think there's been a glitch i was supposed to sweat you out in search of glorious happenings of happenstance on someone else's playground but it's been two-thousand one-hundred ninety days of our love blackout (our love is blacking out) the system's breaking down (the system's breaking down) i think there's been a glitch oh, yeah five seconds later i'm fastening myself to you with a stitch oh, yeah and i'm not even sorry, nights are so starry blood moonlit it must be counterfeit i think there's been a glitch a brief interruption, a slight malfunction i'd go back to wanting dudes who give nothing i thought we had no chance and that's romance let's dance glitch oh, yeah five seconds later i'm fastening myself to you with a stitch oh, yeah and i'm not even sorry, nights are so starry blood moonlit (blood moonlit) it must be counterfeit (it must be counterfeit) i think there's been a glitch"
You're Losing Me (From The Vault),"you say: i don't understand, and i say: i know you don't we thought a cure would come through in time, now, i fear it won't remember looking at this room, we loved it 'cause of the light now i just sit in the dark and wonder if it's time do i throw out everything we built or keep it? i'm getting tired, even for a phoenix always rising from the ashes mending all her gashes you might just have dealt the final blow stop, you're losing me stop, you're losing me stop, you're losing me i can't find a pulse my heart won't start anymore for you 'cause you're losing me every morning, i glared at you with storms in my eyes how can you say that you love someone you can't tell is dying? i sent you signals and bit my nails down to the quick my face was gray, but you wouldn't admit that we were sick and the air is thick with loss and indecision i know my pain is such an imposition now, you're running down the hallway and you know what they all say you don't know what you got until it's gone stop, you're losing me stop, you're losing me stop, you're losing me i can't find a pulse my heart won't start anymore for you 'cause you're losing me 'cause you're losing me stop (stop) 'cause you're losing me my heart won't start anymore (stop, 'cause you're losing me) my heart won't start anymore (stop, 'cause you're losing me) how long could we be a sad song? till we were too far gone to bring back to life? i gave you all my best me's, my endless empathy and all i did was bleed as i tried to be the bravest soldier fighting in only your army, frontlines, don't you ignore me i'm the best thing at this party (you're losing me) and i wouldn't marry me either a pathological people pleaser who only wanted you to see her and i'm fading, thinking do something, babe, say something (say something) lose something, babe, risk something (you're losing me) choose something, babe, i got nothing (i got nothing) to believe, unless you're choosing me you're losing me stop (stop, stop), you're losing me stop (stop, stop), you're losing me i can't find a pulse my heart won't start anymore"
