Song,Lyrics
Last Christmas,"last christmas i gave you my heart but the very next day, you gave it away this year, to save me from tears i'll give it to someone special once bitten and twice shyed i keep my distance but you still catch my eye tell me baby do you recognize me well, it's been a year, it doesn't surprise me merry christmas, i wrapped it up and sent it with a note saying 'i love you', i meant it now i know what a fool i've been but if you kiss me now, i know you'd fool me again last christmas i gave you my heart but the very next day, you gave it away this year, to save me from tears i'll give it to someone special last christmas i gave you my heart but the very next day, you gave it away this year, to save me from tears i'll give it to someone special a crowded room and friends with tired eyes i'm hiding from you and your soul of ice my god, i thought you were someone to rely on me, i guess i was a shoulder to cry on a face on a lover with a fire in his heart a girl on a cover but you tore her apart maybe this year maybe this year i'll give it to someone special cause last christmas i gave you my heart but the very next day, you gave it away this year, to save me from tears i'll give it to someone special last christmas i gave you my heart but the very next day, you gave it away this year, to save me from tears i'll give it to someone special and last christmas and this year it won't be anything like, anything like last christmas i gave you my heart but the very next day, you gave it away this year, to save me from tears i'll give it to someone special"
Christmases When You Were Mine,"please, take down the misletoe 'cause i don't wanna think about that right now 'cause everything i want is miles away in a snow covered little town my momma's in the kitchen, worrying about me season's greetings, hope you're well well i'm doing alright, if you were wondering lately i can never tell i know this shouldn't be a lonely time but there were christmases when you were mine i've been doing fine without you, really up until the nights got cold and everybody's here, except you, baby seems like everyone's got someone to hold but for me, it's just a lonely time 'cause there were christmases when you were mine ""merry christmas everybody"" that'll have to be something i just say this year i'll bet you got your mom another sweater and were your cousins late again? when you were putting up the lights this year did you notice one less pair of hands? i know this shouldn't be a lonely time but there were christmases when i didn't wonder how you are tonight 'cause there were christmases when you were mine you were mine"
Santa Baby,"santa baby, slip a sable under the tree, for me i've been an awful good girl, santa baby so hurry down the chimney tonight santa baby, a '54 convertible too, light blue well, i'll wait up for you, dear, santa baby so hurry down the chimney tonight, yeah think of all the fun i've missed think of all the boys i haven't kissed next year i could be just as good if you check off my christmas list santa baby, i want a yacht and really that's not a lot i've been an angel all year, santa baby so hurry down the chimney tonight santa, honey, there's one more thing i really do need, the deed to a platinum mine, santa honey so hurry down the chimney tonight come and trim my christmas tree with some decorations bought at tiffany's i really do believe in you let's see if you believe in me santa baby, forgot to mention one little thing, a ring and i don't mean on the phone, santa baby so hurry down the chimney tonight"
Christmas Must Be Something More,"what if ribbons and bows didn't mean a thing? would the song still survive without five golden rings? would you still want to kiss without misletoe? what would happen if god never let it snow? what would happen if christmas carols told a lie? tell me what would you find? you'd see that today holds something special something holy, not superficial so here's to the birthday boy who saved our lives it's something we all try to ignore and put a wreath up on your door so here's something you should know that is for sure christmas must be something more what if angels did not pay attention to all the things that we wished they would always do? what if happiness came in a cardboard box then i think there is something we all forgot? what would happen if presents all went away? tell me what would you find? you'd see that today holds something special something holy, not superficial so here's to the birthday boy who saved our lives it's something we all try to ignore and put a wreath up on your door so here's something you should know that is for sure christmas must be something more we get so caught up in all of it business and relationships hundred mile an hour lives and it's this time of year and everybody's here it seems the last thing on your mind is that the day holds something special something holy, not superficial so here's to jesus christ who saved our lives it's something we all try to ignore and put a wreath up on your door but here's something you should know that is for sure christmas must be something christmas must be something christmas must be something more there's gotta be more there's gotta be more"
White Christmas,i'm dreaming of a white christmas just like the ones i used to know where the tree tops glisten and children listen to hear sleigh bells in the snow i'm dreaming of a white christmas with every christmas card i write may your days be merry and bright and may all your christmases be white i'm dreaming of a white christmas just like the ones i used to know so may your days be merry and bright and may all your christmases be white may your days be merry and bright and may all your christmases be white
