Song,Lyrics
This Love ‎ ,"clear blue water high tide came and brought you in and i could go on and on, on and on and i will skies grew darker currents swept you out again and you were just gone and gone gone and gone in silent screams in wildest dreams i never dreamed of this this love is good, this love is bad this love is alive back from the dead, oh these hands had to let it go free and this love came back to me, oh oh, oh tossing, turning struggled through the night with someone new baby, i could go on and on on and on lantern, burning flickered in my mind for only you but you were still gone gone, gone in losing grip on sinking ships you showed up just in time this love is good, this love is bad this love is alive back from the dead, oh these hands had to let it go free and this love came back to me, oh this love left a permanent mark this love is glowing in the dark, oh these hands had to let it go free and this love came back to me, oh this love (this love, this love, this love) this love (this love, this love, this love) this love (this love, this love, this love) this love (this love, this love, this love) your kiss, my cheek i watched you leave your smile, my ghost i fell to my knees when you're young you just run but you come back to what you need this love is good, this love is bad this love is alive back from the dead, oh these hands had to let it go free and this love came back to me, oh (this love) this love left a permanent mark (this love) this love is glowing in the dark, oh (this love) these hands had to let it go free (this love) and this love came back to me, oh this love (this love, this love, this love, oh) this love (this love, this love, this love, oh) this love (this love, this love, this love) (this love) this love came back to me, oh"
I Know Places ‎ ,"you stand with your hand on my waistline it's a scene and we're out here in plain sight i can hear them whisper as we pass by it's a bad sign, bad sign something happens when everybody finds out see the vultures circling, dark clouds love's a fragile little flame it could burn out, it could burn out 'cause they got the cages, they got the boxes and guns they are the hunters, we are the foxes and we run baby i know places we won't be found and they'll be chasing their tails trying to track us down, 'cause i i know places we can hide i know places i know places lights flash and we'll run for the fences let them say what they want, we won't hear it loose lips sink ships all the damn time not this time (i, i, i, i) just grab my hand and don't ever drop it my love they are the hunters, we are the foxes and we run baby (baby) i know places we won't be found and they'll (they'll) be (be) chasing their tails trying to track us down 'cause i i know places we can hide i know places they are the hunters, we are the foxes and we run just grab my hand and don't ever drop it my love baby (baby) i know places we won't be found and they'll (they'll) be (be) chasing their tails trying to track us down 'cause i i know places we can hide i know places (i) they take their shots, but we're bulletproof (i know places) (hide) and you know, for me, it's always you (i know places) (i) in the dead of night, your eyes so green (i know places) (hide) and i know, for you, it's always me (i know places)"
Clean ‎ ,"the drought was the very worst ah, ah when the flowers that we'd grown together died of thirst it was months and months of back and forth ah, ah you're still all over me like a wine-stained dress i can't wear anymore hung my head as i lost the war and the sky turned black like a perfect storm the rain came pouring down when i was drowning, that's when i could finally breathe and by morning gone was any trace of you, i think i am finally clean there was nothing left to do ah, ah when the butterflies turned to dust that covered my whole room so i punched a hole in the roof ah, ah let the flood carry away all my pictures of you the water filled my lungs i screamed so loud, but no one heard a thing the rain came pouring down when i was drowning, that's when i could finally breathe and by morning gone was any trace of you, i think i am finally clean i think i am finally clean ah said i think i am finally clean ah ten months sober, i must admit just because you're clean don't mean you don't miss it ten months older, i won't give in now that i'm clean, i'm never gonna risk it the drought was the very worst ah, ah when the flowers that we'd grown together died of thirst the rain came pouring down when i was drowning, that's when i could finally breathe and by morning gone was any trace of you, i think i am finally clean the rain came pouring down when i was drowning, that's when i could finally breathe and by morning gone was any trace of you, i think i am finally clean finally clean think i'm finally clean ah, ah think i'm finally clean"
Wonderland ‎ ,"flashing lights and we took a wrong turn and we fell down a rabbit hole you held on tight to me 'cause nothing's as it seems and spinning out of control didn't they tell us: don't rush into things? didn't you flash your green eyes at me? haven't you heard what becomes of curious minds? ooh, didn't it all seem new and exciting? i felt your arms twisting around me i should have slept with one eye open at night we found wonderland you and i got lost in it and we pretended it could last forever (eh, eh) we found wonderland you and i got lost in it and life was never worse, but never better (eh, eh, eh, eh, eh, eh, eh, eh) in wonderland (eh, eh, eh, eh, eh, eh) in wonderland (eh, eh, eh, eh, eh, eh) in wonderland (eh, eh, eh, eh, eh, eh) in wonderland so we went on our way too in love to think straight all alone, or so it seemed but there were strangers watching and whispers turned to talking and talking turned to screams, oh didn't they tell us: don't rush into things? didn't you flash your green eyes at me? didn't you calm my fears with a cheshire cat smile? ooh, didn't it all seem new and exciting? i felt your arms twisting around me it's all fun and games till somebody loses their mind but, darling, we found wonderland you and i got lost in it and we pretended it could last forever (eh, eh) we found wonderland you and i got lost in it and life was never worse, but never better (eh, eh, eh, eh, eh, eh, eh, eh) in wonderland (eh, eh, eh, eh, eh, eh) eh, eh, in wonderland (eh, eh, eh, eh, eh, eh) in wonderland (eh, eh, eh, eh, eh, eh) woah, in wonderland i reached for you, but you were gone i knew i had to go back home you searched the world for something else to make you feel like what we had and in the end, in wonderland, we both went mad (oh) we found wonderland you and i got lost in it and we pretended it could last forever (eh, eh) (could last forever) we found wonderland you and i got lost in it (got lost in it) and life was never worse, but never better (never better) (eh, eh, eh, eh, eh, eh, eh) we found wonderland (eh, eh, eh, eh, eh, eh) you and i got lost in it (in wonderland) (eh, eh, eh, eh, eh, eh) and we pretended it could last forever (in wonderland) (eh, eh, eh, eh, eh, eh) we found wonderland (eh, eh, eh, eh, eh, eh) you and i got lost in it (in wonderland) (eh, eh, eh, eh, eh) and life was never worse, but never better in wonderland"
You Are In Love ‎ ,"one look, dark room meant just for you time moved too fast you play it back buttons on a coat lighthearted joke no proof, not much but you saw enough small talk, he drives coffee at midnight the light reflects the chain on your neck he says: look up and your shoulders brush no proof, one touch but you felt enough you can hear it in the silence (silence), silence (silence) (you) you can feel it on the way home (way home), way home (way home) (you) you can see it with the lights out (lights out), lights out (lights out) you are in love (in love), true love (true love) you are in love morning, his place burn toast, sunday you keep his shirt he keeps his word and for once you let go of your fears and your ghosts one step, not much but it said enough you kiss on sidewalks you fight, then you talk one night, he wakes strange look on his face pauses, then says you're my best friend and you knew what it was he is in love you can hear it in the silence (silence), silence (silence) (you) you can feel it on the way home (way home), way home (way home) (you) you can see it with the lights out (lights out), lights out (lights out) you are in love (in love), true love (true love) you are in love and so it goes you two are dancing in a snowglobe, 'round and 'round and he keeps a picture of you in his office downtown and you understand now why they lost their minds and fought the wars and why i've spent my whole life trying to put it into words 'cause you can hear in the silence you can feel it on the way home you can see it with the lights out you are in love, true love you are in love you can hear it in the silence (silence), silence (silence) (you) you can feel it on the way home (way home), way home (way home) (you) you can see it with the lights out (lights out), lights out (lights out) you are in love (in love), true love (true love) you are in love you can hear it in the silence, silence (you) you can feel it on the way home (way home), way home (way home) (you) you can see it with the lights out (lights out), lights out (lights out) you are in love (in love), true love (true love) you are in love"
New Romantics ‎ ,"we're all bored we're all so tired of everything we wait for trains that just aren't coming we show off our different scarlet letters trust me, mine is better we're so young we're on the road to ruin we play dumb but we know exactly what we're doin' we cry tears of mascara in the bathroom honey, life is just a classroom (ah, ah, ah) 'cause, baby, i could build a castle out of all the bricks they threw at me and every day is like a battle but every night with us is like a dream baby, we're the new romantics come on, come along with me heartbreak is the national anthem we sing it proudly we are too busy dancing to get knocked off our feet baby, we're the new romantics the best people in life are free we're all here the lights and noise are blinding we hang back it's all in the timing it's poker he can't see it in my face but i'm about to play my ace we need love but all we want is danger we team up then switch sides like a record changer the rumours are terrible and cruel but, honey, most of them are true (ah, ah, ah) 'cause, baby, i could build a castle out of all the bricks they threw at me and every day is like a battle but every night with us is like a dream baby, we're the new romantics come on, come along with me heartbreak is the national anthem we sing it proudly we are too busy dancing to get knocked off our feet baby, we're the new romantics the best people in life are free (ah, ah, ah) so come on, come along with me (ah, ah, ah) the best people in life are free please, take my hand, and please, take me dancing and, please, leave me stranded it's so romantic (it's so romantic) 'cause, baby, i could build a castle out of all the bricks they threw at me and every day is like a battle but every night with us is like a dream 'cause, baby, i could built a castle (castle) out of all the bricks they threw at me and every day is like a battle but every night with us is like a dream baby, we're the new romantics come on, come along with me heartbreak is the national anthem we sing it proudly we are too busy dancing to get knocked off our feet baby, we're the new romantics the best people in life are free"
"""Slut!"" ‎[From The Vault]","flamingo pink, sunrise boulevard clink, clink, being this young is art aquamarine, moonlit swimming pool what if all i need is you? got love-struck, went straight to my head got lovesick all over my bed love to think you'll never forget handprints in wet cement adorned with smoke on my clothes lovelorn and nobody knows love thorns all over this rose i'll pay the price, you won't but if i'm all dressed up they might as well be lookin' at us and if they call me a slut you know it might be worth it for once and if i'm gonna be drunk might as well be drunk in love send the code, he's waitin' there the sticks and stones they throw froze mid-air everyone wants him, that was my crime the wrong place at the right time and i break down, then he's pullin' me in in a world of boys, he's a gentleman got love-struck, went straight to my head (straight to my head) got lovesick all over my bed (over my bed) love to think you'll never forget we'll pay the price, i guess but if i'm all dressed up (if i'm all dressed up) they might as well be lookin' at us (lookin' at us) and if they call me a slut (if they call me a slut) you know it might be worth it for once (worth it for once) and if i'm gonna be drunk i might as well be drunk in love half asleep, takin' your time in the tangerine, neon light, this is luxury you're not sayin' you're in love with me but you're going to half awake, takin' your chances it's a big mistake, i said, it might blow up in your pretty face i'm not saying: do it anyway (do it any) but you're going to (up) and if they call me a (slut) you know it might be worth it for once and if i'm gonna be (drunk) might as well be drunk in love"
Say Don't Go ‎[From The Vault],"i've known it from the very start we're a shot in the darkest dark oh no, oh no, i'm unarmed the waiting is a sadness fading into madness oh no, oh no, it won't stop i'm standing on a tightrope alone i hold my breath a little bit longer halfway out the door, but it won't close i'm holding out hope for you to say: don't go i would stay forever if you say: don't go why'd you have to lead me on? why'd you have to twist the knife? walk away and leave me bleeding, bleeding? why'd you whisper in the dark just to leave me in the night? now your silence has me screaming, screaming (say) say: (don't) don't (go) go i would stay forevеr if you (say) say: (don't) don't (go) go (say, say, say, say) now i'm pacing on shaky ground strike a match, then you blow it out oh no, oh no, it's not fair 'cause you kiss mе and it stops time and i'm yours, but you're not mine oh no, oh no, you're not there i'm standing on the sidewalk alone i wait for you to drive by i'm tryna see the cards that you won't show i'm about to fold unless you (say) say: (don't) don't (go) go i would stay forevеr if you (say) say: (don't) don't (go) go why'd you have to lead me on? why'd you have to twist the knife? walk away and leave me bleeding, bleeding? why'd you whisper in the dark just to leave me in the night? now your silence has me screaming, screaming (say) say: (don't) don't (go) go i would stay forevеr if you (say) say: (don't) don't (go) go (say, say, say, say) why'd you have to (why'd you have to) make me want you? (make me want you?) why'd you have to (why'd you have to) give me nothing back? why'd you have to (why'd you have to) make me love you? (make me love you?) i said: i love you (i said: i love you) you say nothing back why'd you have to lead me on? why'd you have to twist the knife? walk away and leave me bleeding, bleeding? why'd you whisper in the dark just to leave me in the night? now your silence has me screaming, screaming (say) say: (don't) don't (go) go i would stay forevеr if you (say) say: (don't) don't (go) go (say, say, say, say) but you won't, but you won't, but you won't i would stay forever if you say: don't go but you won't, but you won't, but you won't"
Now That We Don't Talk ‎[From The Vault],"you went to a party i heard from everybody you part the crowd like the red sea don't even get me started did you get anxious, though on the way home? i guess i'll never ever know now that we don't talk you grew your hair long you got new icons and from the outside it looks like you're trying lives on i miss the old ways you didn't have to change but i guess i don't have a say now that we don't talk i call my mom, she said that it was for the best remind myself the morе i gave, you'd want me less i cannot bе your friend, so i pay the price of what i lost and what it cost, now that we don't talk what do you tell your friends we shared dinners, long weekends with? truth is, i can't pretend it's platonic, it's just ended, so i call my mom, she said to get it off my chest (off my chest) remind myself the way you faded till i left (until i left) i cannot be your friend, so i pay the price of what i lost (of what i lost) and what it cost, now that we don't talk i don't have to pretend i like acid rock or that i'd like to be on a mega yacht with important men who think important thoughts guess maybe i am better off now that we don't talk and the only way back to my dignity was to turn into a shrouded mystery just like i had been when you were chasing me guess this is how it has to be now that we don't talk"
Suburban Legends ‎[From The Vault],"you had people who called you on unmarked numbers in my peripheral vision i let it slide like a hose on a slippery plastic summer all was quickly forgiven you were so magnetic, it was almost obnoxious flush with the currency of cool i was always turnin' out my empty pockets and when it came to you i didn't come here to make friends we were born to be suburban legends when you hold me, it holds me together and you kiss me in a way that's gonna screw me up forever i had the fantasy that maybe our mismatched star signs would surprise the whole school when i ended up back at our class reunion walkin' in with you you'd be more than a chapter in my old diaries with the pages ripped out i am standin' in a nineteen-fifty's gymnasium and i can still see you now i didn't come here to make friends we were born to be suburban legends when you hold me, it holds me together and you kiss me in a way that's gonna screw me up forever i know that you still remember we were born to be national treasures when you told me we'd get back together and you kissed me in a way that's gonna screw me up forever tick-tock on the clock, i pace down your block i broke my own heart 'cause you were too polite to do it waves crash on the shore, i dash to the door you don't knock anymore and my whole life's ruined tick-tock on the clock, i pace down your block i broke my own heart 'cause you were too polite to do it waves crash to the shore, i dash to the door you don't knock anymore and i always knew it that my life would be ruined"
