Song,Lyrics
Eyes Open ,"everybody's waiting everybody's watching even when you're sleeping keep your ey-eyes open the tricky thing is yesterday we were just children playing soldiers, just pretending dreaming dreams with happy endings in backyards winning battles with our wooden swords but now we stepped into a cruel world where everybody stands and keeps score keep your eyes open everybody's waiting for you to break down everybody's watching to see the fallout even when you're sleeping, sleeping keep your ey-eyes open keep your ey-eyes open keep your ey-eyes open so here you are two steps ahead and staying on guard every lesson forms a new scar they never thought you'd make it this far but turn around (turn around) oh, they've surrounded you, it's a showdown (showdown) and nobody comes to save you now but you've got something they don't yeah, you've got something they don't you just gotta keep your eyes open everybody's waiting for you to break down everybody's watching to see the fallout even when you're sleeping, sleeping keep your ey-eyes open keep your ey-eyes open keep your ey-eyes keep your feet ready heartbeat steady keep your eyes open keep your aim locked the night goes dark keep your eyes open everybody's waiting for you to break down everybody's watching to see the fallout even when you're sleeping, sleeping keep your ey-eyes open (keep your ey-eyes open) keep your ey-eyes open (keep your ey-eyes open) keep your ey-eyes open"
Safe & Sound ,"i remember tears streaming down your face when i said: i'll never let you go when all those shadows almost killed your light i remember you said: don't leave me here alone but all that's dead and gone and passed tonight just close your eyes the sun is going down you'll be alright no one can hurt you now come morning light you and i'll be safe and sound don't you dare look out your window darling, everything's on fire the war outside our door keeps raging on hold on to this lullaby even when the music's gone, gone just close your eyes the sun is going down you'll be alright no one can hurt you now come morning light you and i'll be safe and sound oh, oh, oh oh, oh, oh just close your eyes you'll be alright come morning light you and i'll be safe and sound"
