Song,Lyrics
Forever & Always ‎,"once upon a time i believe it was a tuesday when i caught your eye we caught onto something i hold onto the night you looked me in the eye and told me you loved me were you just kidding? 'cause it seems to me this thing is breaking down, we almost never speak i don't feel welcome anymore baby, what happened? please, tell me 'cause one second it was perfect now you're halfway out the door and i stare at the phone, he still hasn't called and then you feel so low, you can't feel nothing at all and you flashback to when he said: forever and always oh, oh, oh, oh and it rains in your bedroom, everything is wrong it rains when you're here and it rains when you're gone 'cause i was there when you said: forever and always was i out of line? did i say something way too honest, made you run and hide like a scared little boy? i looked into your eyes thought i knew you for a minute now i'm not so sure so here's to everything coming down to nothing here's to silence that cuts me to the core where is this going? thought i knew for a minute but i don't anymore and i stare at the phone, he still hasn't called and then you feel so low, you can't feel nothing at all and you flashback to when he said: forever and always oh, oh, oh, oh and it rains in your bedroom, everything is wrong it rains when you're here and it rains when you're gone 'cause i was there when you said: forever and always you didn't mean it, baby i don't think so oh, oh back up, baby, back up did you forget everything? back up, baby, back up did you forget everything? 'cause it rains in your bedroom, everything is wrong it rains when you're here and it rains when you're gone 'cause i was there when you said: forever and always oh, i stare at the phone, he still hasn't called and then you feel so low, you can't feel nothing at all and you flashback to when we said: forever and always and it rains in your bedroom, everything is wrong it rains when you're here and it rains when you're gone 'cause i was there when you said: forever and always you didn't mean it, baby you said forever and always, yeah"
The Best Day ‎,"i'm five years old, it's getting cold, i've got my big coat on i hear your laugh and look up smiling at you, i run and run past the pumpkin patch and the tractor rides look now, the sky is gold i hug your legs and fall asleep on the way home i don't know why all the trees change in the fall but i know you're not scared of anything at all don't know if snow white's house is near or far away but i know i had the best day with you today i'm thirteen now and don't know how my friends could be so mean i come home crying and you hold me tight and grab the keys and we drive and drive until we found a town far enough away and we talk and window shop till i've forgotten all their names i don't know who i'm going to talk to now at school but i know i'm laughing on the car ride home with you don't know how long it's going to take to feel okay but i know i had the best day with you today i have an excellent father, his strength is making me stronger god smiles on my little brother inside and out he's better than i am i grew up in a pretty house and i had space to run and i had the best days with you there is a video i found from back when i was three you set up a paint set in the kitchen and you're talking to me it's the age of princesses and pirate ships and the seven dwarfs daddy's smart and you're the prettiest lady in the whole wide world now i know why all the trees change in the fall i know you were on my side even when i was wrong and i love you for giving me your eyes for staying back and watching me shine and i didn't know if you knew so i'm taking this chance to say that i had the best day with you today"
Change ‎,"and it's a sad picture the final blow hits you somebody else gets what you wanted again and you know it's all the same another time and place repeating history and you're getting sick of it but i believe in whatever you do and i'll do anything to see it through because these things will change can you feel it now? these walls that they put up to hold us back will fall down it's a revolution the time will come for us to finally win and we'll sing hallelujah! we'll sing hallelujah! so we've been outnumbered raided and now cornered it's hard to fight when the fight ain't fair we're getting stronger now find things they never found they might be bigger, but we're faster and never scared you can walk away, say we don't need this but there's something in your eyes, says we can beat this 'cause these things will change can you feel it now? these walls that they put up to hold us back will fall down it's a revolution the time will come for us to finally win and we'll sing hallelujah! we'll sing hallelujah! oh tonight we'll stand get off our knees fight for what we've worked for all these years and the battle was long it's the fight of our lives but we'll stand up champions tonight it was the night things changed can you see it now? these walls that they put up to hold us back fell down it's a revolution throw your hands up 'cause we never gave in and we'll sing hallelujah! we sang hallelujah! oh hallelujah"
Jump Then Fall ‎,"i like the way you sound in the morning we're on the phone and without a warning i realize your laugh is the best sound i have ever heard i like the way i can't keep my focus i watched you talk, you didn't notice i hear the words, but all i can think is: we should be together everytime you smile, i smile and everytime you shine, i'll shine for you whoa, i'm feeling you, baby don't be afraid to jump then fall jump then fall into me baby, i'm never gonna leave you say that you wanna be with me too 'cause i'mma stay through it all so jump then fall well, i like the way your hair falls in your face you got the keys to me, i love each freckle on your face oh, i've never been so wrapped up, honey i like the way you're everything i ever wanted i have time to think it all over and all i can say is: come closer take a deep breath and jump then fall into me 'cause everytime you smile, i smile and everytime you shine, i'll shine for you whoa, i'm feeling you, baby don't be afraid to jump then fall jump then fall into me baby, i'm never gonna leave you say that you wanna be with me too 'cause i'mma stay through it all so jump then fall the bottom's gonna drop out from under our feet i'll catch you, i'll catch you when people say things that bring you to your knees i'll catch you the time is gonna come when you're so mad you could cry but i'll hold you through the night until you smile whoa, i need you, baby don't be afraid please, jump then fall jump then fall into me baby, i'm never gonna leave you say that you wanna be with me too 'cause i'mma stay through it all so jump then fall jump then fall, baby jump then fall into me, into me everytime you smile, i smile and everytime you shine, i'll shine and everytime you're here, baby i'll show you, i'll show you you can jump then fall jump then fall jump then fall into me, into me, yeah"
Untouchable ‎,"untouchable like a distant diamond sky i'm reaching out and i just can't tell you why i'm caught up in you i'm caught up in you untouchable, burning brighter than the sun and when you're close, i feel like coming undone in the middle of the night, when i'm in this dream it's like a million little stars spelling out your name you gotta come on, come on say that we'll be together come on, come on little taste of heaven it's half full and i won't wait here all day i know you're saying that you'd be here anyway but you're untouchable, burning brighter than the sun and now that you're close, i feel like coming undone in the middle of the night, when i'm in this dream it's like a million little stars spelling out your name you gotta come on, come on say that we'll be together come on, come on, oh in the middle of the night, waking from this dream i want to feel you by my side, standing next to me you gotta come on, come on say that we'll be together come on, come on little taste of heaven i'm caught up in you, oh, oh but you're untouchable, burning brighter than the sun now that you're close, i feel like coming undone in the middle of the night, when i'm in this dream it's like a million little stars spelling out your name you gotta come on, come on say that we'll be together come on, come on, oh in the middle of the night, when i'm in this dream it's like a million little stars spelling out your name you gotta come on, come on say that we'll be together come on, come on come on in the middle of the night, waking from this dream i want to feel you by my side, standing next to me you gotta come on, come on say that we'll be together come on, come on little taste of heaven and in the middle of the night, when i'm in this dream it's like a million little stars spelling out your name you gotta come on, come on oh, come on, come on come on, come on oh, oh, oh, oh it's like a million little stars spelling out your name spelling out your name, oh"
Come In With The Rain ‎,"i could go back to every laugh but i don't wanna go there anymore and i know all the steps up to your door but i don't wanna go there anymore talk to the wind talk to the sky talk to the man with the reasons why and let me know what you find i'll leave my window open 'cause i'm too tired at night to call your name just know i'm right here hoping that you'll come in with the rain i could stand up and sing you a song but i don't wanna have to go that far and i, i've got you down, i know you by heart and you don't even know where i start talk to yourself talk to the tears talk to the man who put you here and don't wait for the sky to clear i'll leave my window open 'cause i'm too tired at night to call your name out just know i'm right here hoping that you'll come in with the rain i've watched you so long screamed your name i dont' know what else i can say but i'll leave my window open 'cause i'm too tired at night for all of these games just know i'm right here hoping that you'll come in with the rain i could go back to every laugh but i don't wanna go there anymore"
Superstar ‎,"this is wrong, but i can't help but feel like there ain't nothing more right, baby misty morning comes again and i can't help but wish i could see your face and i knew from the first note played i'd be breaking all my rules to see you and you smile, that beautiful smile and all the girls in the front row scream your name so dim that spotlight tell me things like i can't keep my eyes off of you i am no one special just another wide-eyed girl who's desperately in love with you give me a photograph to hang on my wall superstar morning loneliness comes around when i'm not dreaming about you when my world wakes up today you'll be in another town and i knew when i saw your face i'd be counting down the ways to see you and you smile, that beautiful smile and all the girls in the front row scream your name so dim that spotlight tell me things like i can't take my eyes off of you i am no one special just another wide-eyed girl who's desperately in love with you give me a photograph to hang on my wall superstar you played in bars, you play guitar and i'm invisible and everyone knows who you are and you'll never see you sing me to sleep every night from the radio so dim that spotlight tell me things like i can't take my eyes off of you i am no one special just another wide-eyed girl who's desperately in love with you give me a photograph to hang on my wall superstar sweet, sweet superstar superstar"
The Other Side of the Door ‎,"in the heat of the fight, i walked away ignoring words that you were saying trying to make me stay i said: this time, i've had enough and you've called a hundred times but i'm not picking up 'cause i'm so mad i might tell you that it's over but if you look a little closer i said: leave, but all i really want is you to stand outside my window throwing pebbles screaming: i'm in love with you wait there in the pouring rain coming back for more and don't you leave 'cause i know all i need is on the other side of the door me and my stupid pride are sitting here alone going through the photographs staring at the phone i keep going back over things we both said and i remember the slamming door and all the things that i misread so babe, if you know everything tell me why you couldn't see? that when i left i wanted you to chase after me, yeah i said leave, but all i really want is you to stand outside my window throwing pebbles screaming: i'm in love with you wait there in the pouring rain coming back for more and don't you leave 'cause i know all i need is on the other side of the door and i'll scream out the window i can't even look at you i don't need you, but i do i do, i do i'll say: there's nothing you can say to make this right again i mean it, i mean it but what i mean is i said leave, but baby, all i want is you to stand outside my window throwing pebbles screaming: i'm in love with you wait there in the pouring rain coming back for more and don't you leave 'cause i know all i need is on the other side of the door with your face and the beautiful eyes and the conversation with the little white lies and the faded picture of a beautiful night you carried me from your car up the stairs and i broke down crying, was she worth this mess? after everything and that little black dress after everything, i must confess: i need you"
Today Was a Fairytale ‎,today was a fairytale you were the prince i used to be a damsel in distress you took me by the hand and you picked me up at six today was a fairytale today was a fairytale today was a fairytale i wore a dress you wore a dark grey t-shirt you told me i was pretty when i looked like a mess today was a fairytale time slows down whenever you're around but can you feel this magic in the air? it must have been the way you kissed me fell in love when i saw you standing there it must have been the way today was a fairytale it must have been the way today was a fairytale today was a fairytale you've got a smile that takes me to another planet every move you make everything you say is right today was a fairytale today was a fairytale all that i can say is now it's getting so much clearer nothing made sense till the time i saw your face today was a fairytale time slows down whenever you're around yeah but can you feel this magic in the air? it must have been the way you kissed me fell in love when i saw you standing there it must have been the way today was a fairytale it must have been the way today was a fairytale time slows down whenever you're around i can feel my heart it's beating in my chest did you feel it? i can't put this down but can you feel this magic in the air? it must have been the way you kissed me fell in love when i saw you standing there it must have been the way but can you feel this magic in the air? it must have been the way you kissed me fell in love when i saw you standing there it must have been the way today was a fairytale it must have been the way today was a fairytale
Mr. Perfectly Fine [From the Vault],"mr. perfect face mr. here to stay mr. looked me in the eye and told me you would never go away everything was right mr. i've been waiting for you all my life mr. every single day until the end, i will be by your side but that was when i got to know mr. change of heart mr. leaves me all alone, i fall apart it takes everything in me just to get up each day but it's wonderful to see that you're okay hello, mr. perfectly fine how's your heart after breaking mine? mr. always at the right place at the right time, baby hello, mr. casually cruel mr. everything revolves around you i've been miss misery since your goodbye and you're mr. perfectly fine mr. never told me why mr. never had to see me cry mr. insincere apology so he doesn't look like the bad guy he goes about his day forgets he ever even heard my name well, i thought you might be different than the rest i guess you're all the same 'cause i hear he's got his arm around a brand new girl i've been pickin' up my heart, he's been pickin' up her and i never got past what you put me through but it's wonderful to see that it never phased you hello, mr. perfectly fine how's your heart after breaking mine? mr. always at the right place at the right time, baby hello, mr. casually cruel mr. everything revolves around you i've been miss misery since your goodbye and you're mr. perfectly fine so dignified in your well-pressed suit so strategized, all the eyes on you sashay away to your seat it's the best seat in the best room oh, he's so smug, mr. always wins so far above me in every sense so far above feeling anything and it's really such a shame it's such a shame 'cause i was miss here to stay now i'm miss gonna be alright someday and someday maybe you'll miss me but by then you'll be mr. too late goodbye, mr. perfectly fine how's your heart after breaking mine? mr. always at the right place at the right time, baby goodbye, mr. casually cruel mr. everything revolves around you i've been miss misery for the last time and you're mr. perfectly fine you're perfectly fine mr. looked me in the eye and told me you would never go away you said you'd never go away"
We Were Happy ‎[From the Vault],"we used to walk along the street when the porch lights were shining bright before i had somewhere to be back when we had all night and we were happy i do recall a good while back we snuck into the circus you threw your arms around my neck back when i deserved it and we were happy when it was good, baby it was good, baby we showed 'em all up no one could touch the way we laughed in the dark talking about your daddy's farm we were gonna buy someday and we were happy we used to watch the sun go down on the boats in the water that's sorta how i feel right now and goodbye's so much harder 'cause we were happy when it was good, baby it was good, baby we showed 'em all up no one could touch the way we laughed in the dark talking about your daddy's farm we were gonna buy someday and we were happy we were happy oh, i hate those voices telling me i'm not in love anymore but they don't give me choices and that's what these tears are for 'cause we were happy we were happy when it was good, baby it was good, baby we showed 'em all up no one could touch the way we laughed in the dark talking about your daddy's farm and you were gonna marry me and we were happy we were happy oh, oh, oh we were happy"
That's When ‎[From the Vault],"you said: i know when i said: i need some time, need some space to think about all of this you watched me go and i knew my words were hard to hear and harder to ever take back and i said: when can i, i, i come back? and you said: that's when when i wake up in the morning that's when, when it's sunny or storming laughing, when i'm crying and that's when, i'll be waiting at the front gate that's when, when i see your face i'll let you in, and baby, that's when hmm, hmm i said: i know when you said: i did you wrong, made mistakes and put you through all of this (through all of this) then through the phone came all your tears and i said: leave those all in our past and you said: when can i, i, i come back? and i said: that's when when i wake up in the morning that's when, when it's sunny or storming laughing, when i'm crying and that's when i'll be waiting at the front gate that's when, when i see your face i'll let you in, and baby, that's when and you say: honestly when you were gone did you ever think of me? and i said that's when, when i woke up in the morning that's when, it was sunny or storming laughing, when i was crying and that's when, you were waiting at the front gate that's when, when i saw your face you let me in, and baby, that's when that's when, when i wake up in the morning (yeah) that's when, when it's sunny or storming when i'm laughing, when i'm crying that's when i'll be waiting at the front gate (that when i miss you, that's when i want you) that's when, when i see your face that's when i love you, that's when"
Don't You ‎[From the Vault],"hey, i knew i'd run into you somewhere it's been a while, i didn't mean to stare i heard she's nothin' like me i'm sure she'll make you happy but don't you don't you smile at me and ask me how i've been don't you say you've missed me if you don't want me again you don't know how much i feel i love you still so why don't you, don't you? ah, ah, ah, ah sometimes i really wish that i could hate you i've tried, but that's just something i can't do my heart knows what the truth is i swore i wouldn't do this but don't you don't you smile at me and ask me how i've been don't you say you've missed me if you don't want me again you don't know how much i feel i love you still so why don't you, don't you? so i'll walk out of here tonight try to go on with my life and you can say: we're still friends i don't wanna pretend so if i see you again don't you (don't you) don't you smile at me and ask me how i've been don't you (don't you) say you've missed me if you don't want me again you don't (you don't) know how much i feel i love you still so why don't you, don't you?"
If This Was a Movie,"last night i heard my own heart beating sounded like footsteps on my stairs six months gone and i'm still reaching even though i know you're not there i was playing back a thousand memories, baby thinking 'bout everything we've been through maybe i've been going back too much lately when time stood still and i had you come back, come back, come back to me like you would, you would if this was a movie stand in the rain outside till i came out come back, come back, come back to me like you could, you could if you just said you're sorry i know that we could work it out somehow but if this was a movie, you'd be here by now i know people change and these things happen but i remember how it was back then locked up in your arms and our friends were laughing 'cause nothing like this ever happened to them now i'm pacing down the hall, chasing down your street flashback to the night when you said to me nothing's gonna change, not for me and you back before i knew how much i had to lose come back, come back, come back to me like you would, you would if this was a movie stand in the rain outside till i came out come back, come back, come back to me like you could, you could if you just said you're sorry i know that we could work it out somehow but if this was a movie, you'd be here by now if you're out there, if you're somewhere, if you're moving on i've been waiting for you ever since you've been gone i just want it back the way it was before and i just want to see you back at my front door and i say: come back, come back, come back to me like you would before you said it's not that easy before the fight, before i locked you out but i take it all back now come back, come back, come back to me like you would, you would if this was a movie stand in the rain outside till i came out come back, come back, come back to me like you could, you could if you just said you're sorry i know that we could work it out somehow but if this was a movie, you'd be here by now you'd be here by now it's not the kind of ending you wanna see now baby, what about the ending? i thought that you'd be here by now, ooh, ooh thought you'd be here by now"
Bye Bye Baby ‎[From the Vault],"it wasn't just like a movie the rain didn't soak through my clothes, down to my skin i'm driving away and i, i guess you could say this is the last time i'll drive this way again lost in the gray and i try to grab at the fray 'cause i, i still love you but i can't bye bye to everything i thought was on my side bye bye baby i want you bad but it's come down to nothing and all i have is your sympathy 'cause you took me home but you just couldn't keep me bye bye baby bye bye baby the picture frame is empty on the dresser, vacant just like me i see your writing on the dash then back to your hesitation i was so sure of everything everything i thought we'd always have guess i never doubted it then the here and the now floods in feels like i'm becoming a part of your past bye bye to everything i thought was on my side bye bye baby i want you bad but it's come down to nothing and all i have is your sympathy 'cause you took me home but you just couldn't keep me bye bye baby bye bye baby there's so much that i can't touch you're all i want but it's not enough this time and all the pages are just slipping through my hands and i'm so scared of how this ends bye bye to everything i thought was on my side bye bye baby i want you bad but it's come down to nothing and all i have is your sympathy 'cause you took me home but you just couldn't keep me bye bye baby bye bye baby bye bye to everything i thought was on my side bye bye baby i want you bad but it's come down to nothing and all i have is your sympathy 'cause you took me home but you just couldn't keep me oh, you took me home, i thought you were gonna keep me bye bye baby bye bye baby"
