Song,Lyrics
How Did It End?,"we hereby conduct this post-mortem he was a hothouse flower to my outdoorsmen our maladies were such we could not cure them and so a touch that was my birth right became foreign come one, come all, it's happening again the empathetic hunger descends will tell no one, except all of our friends we must know: how did it end? (uh-uh, uh-uh) we were blind to unforeseen circumstances we learned the right steps to diffеrent dances and fell victim to intеrlopers' glances lost the game of chance, what are the chances? soon they'll go home to their husbands smug 'cause they know they can trust him then feverishly calling their cousins (oh, oh) guess who we ran into at the shops? walking in circles like she was lost didn't you hear? they called it all off one gasp, and then: how did it end? say it once again with feeling how the death rattle breathing silenced as the soul was leaving the deflation of our dreaming leaving me bereft and reeling my beloved ghost and me sitting in a tree d-y-i-n-g it's happening again how did it end? i can't pretend like i understand how did it end? come one, come all, it's happening again the empathetic hunger descends will tell no one, except all of our friends but i still don't know: how did it end?"
So High School,"i feel so high school every time i look at you i wanna find you in a crowd just to hide from you and in a blink of a crinkling eye i'm sinking, our fingers entwined cheeks pink in the twinkling lights tell me 'bout the first time you saw me i'll drink what you think and i'm high from smoking your jokes all damn night the brink of a wrinkle in time bittersweet sixteen suddenly i'm watching american pie with you on a saturday night your friends are around, so be quiet i'm trying to stifle my sighs 'cause i feel so high school every time i look at you, but look at you ba-ba-ba-ba-ba are you gonna marry, kiss, or kill me (kill me)? it's just a game, but really (really) i'm bettin' on all three (all three) for us two get my car door, isn't that sweet (that sweet)? then pull me to the backsеat (backseat) no one's evеr had me (had me), not like you truth, dare, spin bottles you know how to ball, i know aristotle brand new, full throttle touch me while your bros play grand theft auto it's true, swear, scout's honor you knew what you wanted, and, boy, you got her brand new, full throttle you already know, babe i feel like laughing in the middle of practice do that impression you did of your dad again i'm hearing voices like a madman and in a blink of a crinkling eye i'm sinking, our fingers entwined cheeks pink in the twinkling lights tell me 'bout the first time you saw me i'll drink what you think and i'm high from smoking your jokes all damn night the brink of a wrinkle in time bittersweet sixteen suddenly i'm watching american pie with you on a saturday night your friends are around, so be quiet i'm trying to stifle my sighs 'cause i feel so high school (feel so high school) every time i look at you, but look at you truth, dare, spin bottles you know how to ball, i know aristotle brand new, full throttle touch me while your bros play grand theft auto it's true, swear, scout's honor you knew what you wanted, and, boy, you got her brand new, full throttle you already know, babe (you already know, babe)"
I Hate It Here,"quick, quick tell me something awful like you are a poet trapped inside the body of a finance guy tell me all your secrets all you'll ever be is my eternal consolation prize you see, i was a debutant in another life, but now i seem to be scared to go outside if comfort is a construct i don't believe in good luck now that i know what's what i hate it here, so i will go to secret gardens in my mind people need a key to get to the only one is mine i read about it in a book when i was a precocious child no mid-sized city hopes and small-town fears i'm there most of the year, 'cause i hate it here i hate it here my friends used to play a game where we would pick a decade we wished we could live in instead of this i'd say the 1830s, but without all the racists and getting married off for the highest bid everyone would look down, 'cause it wasn't fun now seems like it was never even fun back then nostalgia is a mind's trick if i'd been there, i'd hate it it was freezing in the palace i hate it here, so i will go to lunar valleys in my mind when they found a better planet only the gentle survived i dreamed about it in the dark the night i felt like i might die no mid-sized city hopes and small-town fears i'm there most of the year, 'cause i hate it here i hate it here i'm lonely, but i'm good i'm bitter, but i swear i'm fine i'll save all my romanticism for my inner life and i'll get lost on purpose this place made me feel worthless lucid dreams like electricity the current flies through me and in my fantasies, i rise above it and way up there, i actually love it i hate it here, so i will go to secret gardens in my mind people need a key to get to the only one is mine i read about it in a book when i was a precocious child no mid-sized city hopes and small-town fears i'm there most of the year, 'cause i hate it here i hate it here quick, quick tell me something awful like you are a poet trapped inside the body of a finance guy"
thanK you aIMee,"when i picture my hometown there's a bronze, spray-tanned statue of you and a plaque underneath it that threatens to push me down the stairs at our school and it was always the same searing pain but i dreamed that one day i could say all that time you were throwin' punches, i was buildin' somethin' and i can't forgive the way you made me feel screamed: fuck you, aimee! to the night sky as the blood was gushin' but i can't forget the way you made me heal and it wasn't a fair fight, or a clean kill each time that aimee stomped across my gravе and then she wrote hеadlines in the local paper laughing at each baby step i'd take and it was always the same searing pain but i prayed that one day i could say all that time you were throwin' punches, i was buildin' somethin' and i couldn't wait to show you it was real screamed: fuck you, aimee! to the night sky as the blood was gushin' but i can't forget the way you made me heal everyone knows that my mother is a saintly woman but she used to say she wished that you were dead i push each boulder up the hill your words are still just ringing in my head, ringing in my head i wrote a thousand songs that you find uncool i built a legacy, which you can't undo but when i count the scars, there's a moment of truth that there wouldn't be this if there hadn't been you and maybe you've reframed it and in your mind, you never beat my spirit black and blue i don't think you've changed much and so i changed your name and any real defining clues and one day, your kid comes home singin' a song that only us two is gonna know is about you, 'cause all that time you were throwin' punches, it was all for nothin' and our town, it looks so small from way up here screamed: thank you, aimee! to the night sky, and the stars are stunnin' 'cause i can't forget the way you made me heal everyone knows that my mother is a saintly woman but she used to say she wished that you were dead so i pushed each boulder up that hill your words were still just ringin' in my head, ringin' in my head thank you, aimee"
I Look in People's Windows,"i had died the tiniest death i spied the catch in your breath out, out out, out, out, out north bound, i got carried away as you boarded your train south, south south, south, south, south a feather taken by the wind blowing i'm afflicted by the not knowing, so i look in people's windows transfixed by rose golden glows they have their friends over to drink nice wine i look in people's windows in case you're at their table what if your eyes looked up and met mine one more time? you had stopped and tiltеd your head i still ponder what it meant now, now now, now, now, now i triеd searching faces on streets what are the chances you'd be downtown, downtown, downtown? does it feel alright to not know me? i'm addicted to the if only so i look in people's windows like i'm some deranged weirdo i attend christmas parties from outside i look in people's windows in case you're at their table what if your eyes looked up and met mine one more time?"
The Prophecy,"hand on the throttle, thought i caught lightning in a bottle oh, but it's gone again and it was written, i got cursed like eve got bitten oh, was it punishment? pad around when i get home, i guess a lesser woman would've lost hope a greater woman wouldn't beg, but i looked to the sky and said please, i've been on my knees, change the prophecy don't want money, just someone who wants my company let it once be me, who do i have to speak to about if they can redo the prophecy? cards on thе table, mine play out like fools in a fablе oh, it was sinking in (sinking in) (aah) slow is the quicksand, poison blood from the wound of the pricked hand oh, still i dream of him please, i've been on my knees, change the prophecy don't want money, just someone who wants my company let it once be me, who do i have to speak to about if they can redo the prophecy? and i sound like an infant, feelin' like the very last drops of an ink pen a greater woman stays cool, but i howl like a wolf at the moon and i look unstable, gathered with a coven 'round a sorceress' table a greater woman has faith, but even statues crumble if they're made to wait i'm so afraid i sealed my fate, no sign of soulmates i'm just a paperweight in shades of greige spendin' my last coin so someone will tell me it'll be okay ooh, ooh ooh, ooh please, i've been on my knees, change the prophecy don't want money, just someone who wants my company let it once be me, who do i have to speak to about if they can redo the prophecy? who do i have to speak to to change the prophecy? hand on the throttle, thought i caught lightning in a bottle oh, but it's gone again pad around when i get home, i guess a lesser woman would've lost hope a greater woman wouldn't beg, but i looked to the sky and said please"
Cassandra,"i was in my new house placing daydreams patching up the crack along the wall i pass it and lose track of what i'm saying 'cause that's where i was when i got the call when the first stone's thrown, there's screaming in the streets, there's a raging riot when it's: burn the bitch!, they're shrieking when the truth comes out, it's quiet so they killed cassandra first 'cause she feared the worst and tried to tell the town so they filled my cell with snakes, i regret to say do you believe me now? i was in my tower weaving nightmares twisting all my smiles into snarls they say what doesn't kill you makes you aware what happens if it becomes who you are? so they killed cassandra first 'cause she feared the worst and tried to tell the town so they set my life in flames, i regret to say do you believe me now? they knew, they knew, they knew the whole time that i was onto something the family, the pure greed, the christian chorus line they all said nothing blood's thick, but nothing like a payroll bet they never spared a prayer for my soul you can mark my words that i said it first in a mourning warning, no one heard i patched up the crack along the wall i pass it and lose track of what i'm saying 'cause that's where i was when i lost it all so they killed cassandra first 'cause she feared the worst and tried to tell the town so they filled my cell with snakes, i regret to say do you believe me now? ah, ah-ah-ah, ah i was onto something ah-ah-ah, ah they all said nothing blood's thick, but nothing like a payroll bet they never spared a prayer for my soul you can mark my words that i said it first in a mourning warning, no one heard no one heard, not a single word was heard when the first stone's thrown, there's screaming in the streets, there's a raging riot when it's: burn the bitch!, they're shrieking when the truth comes out, it's quiet it's so quiet"
Peter,"forgive me, peter, my lost fearless leader in closets like cedar, preserved from when we were just kids is it something i did? the goddess of timing once found us beguiling she said she was trying; peter, was she lying? my ribs get the feeling she did and i didn't wanna come down i thought it was just goodbye for now you said you were gonna grow up then you were gonna come find me said you were gonna grow up thеn you were gonna come find mе said you were gonna grow up then you were gonna come find me words from the mouths of babes promises oceans deep but never to keep oh, never to keep are you still a mind reader? a natural scene stealer? i've heard great things, peter, but life was always easier on you than it was on me and sometimes it gets me when crossing your jet stream we both did the best we could do underneath the same moon in different galaxies and i didn't wanna hang around we said it was just goodbye for now you said you were gonna grow up then you were gonna come find me said you were gonna grow up then you were gonna come find me said you were gonna grow up then you were gonna come find me words from the mouths of babes promises oceans deep but never to keep never to keep and i won't confess that i waited, but i let the lamp burn as the men masqueraded, i hoped you'd return with your feet on the ground, tell me all that you'd learned 'cause love's never lost when perspective is earned and you said you'd come and get me, but you were twenty-five and the shelf life of those fantasies has expired lost to the lost boys chapter of your life forgive me, peter, please know that i tried to hold on (hold on) to the days (to the days) when you were mine but the woman who sits by the window has turned out the light you said you were gonna grow up then you were gonna come find me said you were gonna grow up you said you were gonna grow up then you were gonna come find me said you were gonna grow up (aah) you said you were gonna grow up then you were gonna come find me said you were gonna grow up then you were gonna come find me you said you were gonna grow up then you were gonna come find me words from the mouths of babes promises oceans deep but never to keep"
The Bolter,"by all accounts, she almost drowned when she was six, in frigid water and i can confirm she made a curious child, ever reviled by everyone except her own father with a quite bewitching face splendidly selfish, charmingly helpless excellent fun till you get to know her then she runs like it's a race behind her back, her best mates laughed and they nicknamed her the bolter started with a kiss, oh, we must stop meeting like this but it always ends up with a town car speeding out the drive one evening ended with the slam of a door, then he'll call her a whore wish he wouldn't be sore, but as she was leaving it felt like breathing all her fuckin' lives flashed before her eyes it feels like the time she fell through the ice then came out alive he was a cad, wanted her bad just like any good trophy hunter and she liked the way he tastes taming a bear, making him care watching him jump then pulling him under and at first blush, this is fate when it's all roses, portrait poses central park lake in tiny rowboats what a charming saturday that's when she sees the littlest leaks down in the floorboards, and she just knows she must bolt started with a kiss, oh, we must stop meeting like this but it always ends up with a town car speeding out the drive one evening ended with the slam of a door, then he'll call her a whore wish he wouldn't be sore, but as she was leaving it felt like breathing all her fuckin' lives flashed before her eyes (ah, ah, ah-ah-ah) it feels like the time she fell through the ice then came out alive she's been many places with men of many faces first, they're off to the races and she's laughing, drawin' aces but none of it is changin' that the chariot is waitin' hearts are hers for the breakin' there's an escape in escaping started with a kiss, oh, we must stop meeting like this but it always ends up with a town car speeding out the drive one evening ended with the slam of a door, but she's got the best stories you can be sure that as she was leaving it felt like freedom all her fuckin' lives flashed before her eyes (and she realized) it feels like the time she fell through the ice then came out alive"
Robin,"long may you reign you're an animal, you are bloodthirsty out window panes talking utter nonsense, you have no idea strings tied to levers, slowed-down clocks tethered all this showmanship to keep it for you in sweetness way to go, tiger higher and higher wilder and lighter for you long may you roar at your dinosaurs, you're a just ruler covered in mud, you look ridiculous, and you have no idea buried down deep and out of your reach the secret we all vowed to keep it from you in sweetness way to go, tiger higher and higher wilder and lighter for you you got the dragonflies above your bed you have a favorite spot on the swing set you have no room in your dreams for regrets (you have no idea) the time will arrive for the cruel and the mean you'll learn to bounce back just like your trampoline but now we'll curtail your curiosity in sweetness way to go, tiger (way to go, tiger) higher and higher (higher and higher) wilder and lighter for you"
The Manuscript,"now and then she re-reads the manuscript of the entire torrid affair they compared their licenses, he said: i'm not a donor, but i'd give you my heart if you needed it she rolled her eyes and said: you're a professional he said: no, just a good samaritan he said that if the sex was half as good as the conversation was soon they'd be pushin' strollers but soon it was over in the age of him, she wished she was thirty and made coffee every morning in a frеnch press afterwards, she only atе kids' cereal and couldn't sleep unless it was in her mother's bed then she dated boys who were her own age with dartboards on the backs of their doors she thought about how he said since she was so wise beyond her years everything had been above board she wasn't sure and the years passed like scenes of a show the professor said to write what you know lookin' backwards, might be the only way to move forward then the actors were hitting their marks and the slow dance was alight with the sparks and the tears fell in synchronicity with the score and at last, she knew what the agony had been for the only thing that's left is the manuscript one last souvenir from my trip to your shores now and then i re-read the manuscript but the story isn't mine anymore"
