Song,Lyrics
I Can Fix Him (No Really I Can),"the smoke cloud billows out his mouth like a freight train through a small town the jokes that he told across the bar were revolting and far too loud they shake their heads saying: god, help her, when i tell 'em he's my man but your good lord doesn't need to lift a finger i can fix him, no, really, i can and only i can the dopamine races through his brain on a six-lane texas highway his hands, so calloused from his pistol, softly traces hearts on my face and i could see it from a mile away a perfect case for my certain skill set he had a halo of the highest gradе he just hadn't met me yеt they shake their heads saying: god, help her, when i tell 'em he's my man but your good lord doesn't need to lift a finger i can fix him, no, really, i can and only i can good boy, that's right, come close i'll show you heaven if you'll be an angel, all night trust me, i can handle me a dangerous man no, really, i can they shook their heads saying: god, help her, when i told 'em he's my man (i told 'em he's my man) but your good lord didn't need to lift a finger i can fix him, no, really, i can (no, really, i can) woah, maybe i can't"
loml,"who's gonna stop us from waltzing back into rekindled flames if we know the steps anyway? we embroidered the memories of the time i was away stitching: we were just kids, babe i said: i don't mind, it takes time i thought i was better safe than starry-eyed i felt aglow like this, never before and never since if you know it in one glimpse, it's legendary you and i go from one kiss to getting married still alivе, killing time at the cemеtery never quite buried in your suit and tie, in the nick of time you low-down boy, you stand-up guy holy ghost, you told me i'm the love of your life you said i'm the love of your life about a million times who's gonna tell me the truth when you blew in with the winds of fate and told me i reformed you when your impressionist paintings of heaven turned out to be fakes? well, you took me to hell too and all at once, the ink bleeds a con man sells a fool a get-love-quick scheme but i felt a hole like this, never before and ever since if you know it in one glimpse, it's legendary what we thought was for all time was momentary still alive, killing time at the cemetery never quite buried you cinephile in black and white all those plot twists and dynamite mister steal-your-girl, then make her cry said i'm the love of your life you shit-talked me under the table talking rings and talking cradles i wish i could unrecall how we almost had it all dancing phantoms on the terrace are they second-hand embarrassed that i can't get out of bed? 'cause something counterfeit's dead it was legendary it was momentary it was unnecessary should've let it stay buried oh, what a valiant roar what a bland goodbye the coward claimed he was a lion i'm combing through the braids of lies i'll never leave, nevermind our field of dreams engulfed in fire your arson's match, your somber eyes and i'll still see it until i die you're the loss of my life"
I Can Do It With A Broken Heart,"i can read your mind she's having the time of her life there in her glittering prime the lights refract sequin stars off her silhouette every night i can show you lies (one, two, three, four) 'cause i'm a real tough kid, i can handle my shit they said: babe, you gotta fake it till you make it, and i did lights, camera, bitch, smile, even when you wanna die he said he'd love me all his life, but that life was too short breaking down, i hit the floor all the piеces of me shatterеd as the crowd was chanting: more! i was grinnin' like i'm winnin', i was hitting my marks 'cause i can do it with a broken heart (one, two, three) i'm so depressed, i act like it's my birthday every day i'm so obsessed with him, but he avoids me like the plague i cry a lot, but i am so productive, it's an art you know you're good when you can even do it with a broken heart i can hold my breath and i've been doing it since he left i keep finding his things in drawers crucial evidence i didn't imagine the whole thing i'm sure i can pass this test (one, two, three, four) 'cause i'm a real tough kid, i can handle my shit they said: babe, you gotta fake it till you make it, and i did lights, camera, bitch, smile, in stilettos for miles he said he'd love me for all time, but that time was quite short breaking down, i hit the floor all the pieces of me shattered as the crowd was chanting: more! i was grinnin' like i'm winnin', i was hitting my marks 'cause i can do it with a broken heart (one, two, three, four) i'm so depressed, i act like it's my birthday every day i'm so obsessed with him, but he avoids me (he avoids me) like the plague i cry a lot, but i am so productive, it's an art you know you're good when you can even do it with a broken heart you know you're good when you can even do it with a broken heart you know you're good, and i'm good 'cause i'm miserable (haha) and nobody even knows try and come for my job"
The Smallest Man Who Ever Lived,"was any of it true? gazing at me starry-eyed in your jehovah's witness suit who the fuck was that guy? you tried to buy some pills from a friend of friends of mine they just ghosted you now you know what it feels like and i don't even want you back, i just want to know if rusting my sparkling summer was the goal and i don't miss what we had, but could someone give a message to the smallest man who ever lived? you hung me on your wall stabbed me with your push pins in public, showed me off then sank in stoned oblivion 'cause once your queen had come you'd treat her likе an also-ran you didn't measure up in any measurе of a man and i don't even want you back, i just want to know if rusting my sparkling summer was the goal and i don't miss what we had, but could someone give a message to the smallest man who ever lived? were you sent by someone who wanted me dead? did you sleep with a gun underneath our bed? were you writing a book? were you a sleeper cell spy? in fifty years, will all this be declassified? and you'll confess why you did it and i'll say: good riddance 'cause it wasn't sexy once it wasn't forbidden i would've died for your sins instead, i just died inside and you deserve prison, but you won't get time you'll slide into inboxes and slip through the bars you crashed my party and your rental car you said normal girls were boring but you were gone by the morning you kicked out the stage lights, but you're still performing and in plain sight you hid but you are what you did and i'll forget you, but i'll never forgive the smallest man who ever lived"
The Alchemy,"this happens once every few lifetimes these chemicals hit me like white wine what if i told you i'm back? the hospital was a drag worst sleep that i ever had i circled you on a map i haven't come around in so long but i'm coming back so strong so when i touch-down call the amateurs and cut 'em from the team ditch the clowns, get the crown baby, i'm the one to beat 'cause the sign on your heart said it's still reserved for me honestly, who are we to fight thе alchemy? hey, you, what if i told you we'rе cool? that child's play back in school is forgiven under my rule i haven't come around in so long but i'm making a comeback to where i belong so when i touch-down call the amateurs and cut 'em from the team ditch the clowns, get the crown baby, i'm the one to beat 'cause the sign on your heart said it's still reserved for me honestly, who are we to fight the alchemy? these blokes warm the benches we've been on a winning streak he jokes that it's heroin, but this time with an e 'cause the sign on your heart said it's still reserved for me honestly, who are we to fight the alchemy? shirts off, and your friends lift you up over their heads beer stickin' to the floor, cheers chanted 'cause they said there was no chance trying to be the greatest in the league where's the trophy? he just comes, running over to me touch-down, call the amateurs and cut 'em from the team ditch the clowns, get the crown baby, i'm the one to beat 'cause the sign on your heart said it's still reserved for me honestly, who are we to fight the alchemy? these blokes warm the benches we've been on a winning streak he jokes that it's heroin, but this time with an e 'cause the sign on your heart said it's still reserved for me honestly, who are we to fight the alchemy? this happens once every few lifetimes these chemicals hit me like white wine"
Clara Bow,"you look like clara bow in this light, remarkable all your life, did you know you'd be picked like a rose? i'm not trying to exaggerate but i think i might die if it happened die if it happened to me no one in my small town thought i'd see the lights of manhattan this town is fake, but you're the real thing breath of fresh air through smoke rings take the glory, give everything promise to be dazzling you look like stevie nicks in '75, the hair and lips crowd goes wild at her fingertips half moonshine, a full еclipse i'm not trying to exaggeratе but i think i might die if i made it die if i made it no one in my small town thought i'd meet these suits in la they all wanna say this town is fake, but you're the real thing breath of fresh air through smoke rings take the glory, give everything promise to be dazzling the crown is stained, but you're the real queen flesh and blood amongst war machines you're the new god we're worshipping promise to be dazzling beauty is a beast that roars down on all fours demanding more only when your girlish glow flickers just so do they let you know? it's hell on earth to be heavenly them's the breaks, they don't come gently you look like taylor swift in this light, we're lovin' it you've got edge, she never did the future's bright, dazzling"
The Black Dog,"i am someone who until recent events you shared your secrets with and your location, you forgot to turn it off and so i watch as you walk into some bar called the black dog and pierce new holes in my heart you forgot to turn it off and it hits me i just don't understand how you don't miss me in the black dog when someone plays the starting line and you jump up, but she's too young to know this song that was intertwined in the magic fabric of our dreaming old habits die screaming i move through the world with a heart broken my longing state unspoken and i may never open up thе way i did for you and all of those best laid plans you said i needed a bravе man then proceeded to play him until i believed it too and it kills me i just don't understand how you don't miss me in the shower and remember how my rain-soaked body was shakin' do you hate me? was it hazing for a cruel fraternity? i pledged and i still mean it old habits die screaming six weeks of breathin' clean air i still miss the smoke were you makin' fun of me with some esoteric joke? now i wanna sell my house and set fire to all my clothes and hire a priest to come and exorcise my demons even if i die screaming and i hope you hear it and i hope it's shitty in the black dog when someone plays the starting line and you jump up, but she's too young to know this song that was intertwined in the tragic fabric of our dreaming 'cause tail between your legs, you're leavin' i still can't believe it 'cause old habits die screaming"
imgonnagetyouback,"lilac short skirt, the one that fits me like skin did your research, you knew the price going in and i'll tell you one thing, honey i can tell when somebody still wants me, come clean standing at the bar like something's funny, bubbly once you fix your face, i'm going in whether i'm gonna be your wife, or gonna smash up your bike, i haven't decided yet but i'm gonna get you back whether i'm gonna curse you out, or take you back to my house, i haven't decidеd yet but i'm gonna get you back i, i hear thе whispers in your e-e-eyes i'll make you wanna think twice you'll find that you were never not mine (you're mine) small talk, big love, act like i don't care what you did i'm an aston martin that you steered straight into the ditch then ran and hid and i'll tell you one thing, honey i could take the upper hand and touch your body flip the script and leave you like a dumb house party or i might just love you till the end whether i'm gonna be your wife, or gonna smash up your bike, i haven't decided yet but i'm gonna get you back whether i'm gonna flip you off, or pull you into the closet, i haven't decided yet but i'm gonna get you back i, i hear thе whispers in your e-e-eyes i'll make you wanna think twice you'll find that you were never not mine (you're mine) i can feel it coming, humming in the way you move push the reset button, we're becoming something new say you got somebody, i'll say: i got someone too even if it's handcuffed, i'm leaving here with you bygones will be bygone, eras fading into grey (fading into grey) we broke all the pieces, but still wanna play the game (oh) told my friends i hate you, but i love you just the same pick your poison, babe, i'm poison either way whether i'm gonna be your wife, or gonna smash up your bike, i haven't decided yet but i'm gonna get you back whether i'm gonna curse you out, or take you back to my house, i haven't decided yet but i'm gonna get you back i, i hear thе whispers in your e-e-eyes i'll make you wanna think twice you'll find that you were never not mine i'm gonna get you back"
The Albatross,"wise men once said wild winds are death to the candle a rose by any other name is a scandal cautions issued, he stood shooting the messengers they tried to warn him about her cross your thoughtless heart only liquor anoints you she's the albatross she is here to destroy you wise men once said one bad seed kills the garden one less temptress, one less dagger to sharpen locked me up in towers but i'd visit in your dreams and they tried to warn you about me cross your thoughtless heart only liquor anoints you she's the albatross she is here to destroy you devils that you know raise worse hell than a stranger she's the death you chose you're in terrible danger and when that sky rains fire on you and you're persona non grata i'll tell you how i've been there too and that none of it matters wise men once read fake news and they believed it jackals raised their hackles you couldn't conceive it you were sleeping soundly when they dragged you from your bed and i tried to warn you about them so i crossed my thoughtless heart spread my wings like a parachute i'm the albatross i swept in at the rescue the devil that you know looks now more like an angel i'm the life you chose and all this terrible danger (ah-ah-ah-ah) this terrible danger (ah-ah-ah-ah) so cross your thoughtless heart (ah-ah-ah-ah) she's the albatross (ah-ah-ah-ah) she is here to destroy you"
Chloe or Sam or Sophia or Marcus,"your hologram stumbled into my apartment hands in the hair of somebody in darkness named chloe or sam or sophia or marcus and i just watched it happen as the decade would play us for fools and you saw my bones out with somebody new who seemed like he would've bullied you in school and you just watched it happen if you wanna break my cold, cold heart just say: i loved you the way that you were if you wanna tear my world apart just say you've always wondered you said some things that i can't unabsorb you turned me into an idea of sorts you needed me, but you needed drugs more and i couldn't watch it happen i changed into goddesses, villains and fools changed plans and lovers, and outfits and rules all to outrun my desertion of you and you just watched it if you wanna break my cold, cold heart just say: i loved you the way that you were if you wanna tear my world apart just say you've always wondered if the glint in my eye traced the depths of your sigh down that passage in time back to the moment i crashed into you, like so many wrecks do too impaired by my youth to know what to do so if i sell my apartment and you have some kids with an internet starlet will that make your memory fade from this scarlet maroon like it never happened? could it be enough to just float in your orbit? can we watch our phantoms like watching wild horses? cooler in theory, but not if you force it to be it just didn't happen so if you wanna break my cold, cold heart say you loved me and if you wanna tear my world apart say you'll always wonder (ah-ah-ah-ah-ah-ah) 'cause i wonder (ah-ah-ah-ah-ah-ah) will i always (ah-ah-ah-ah-ah-ah) will i always wonder?"
